Roof_Type,Shading,Location,Latitude,Longitude,Suitability
Curved,Low,Balcony,23.09999284259667,72.52011834966609,0
Flat,Low,Building_Facade,23.089025059449813,72.53828941887322,0
Flat,High,Rooftop,23.091347699538883,72.55268665120504,0
Sloped,Low,Building_Facade,23.049445973825087,72.55137893478509,0
Flat,High,Building_Facade,23.009550221066963,72.53432345316384,0
Flat,Low,Balcony,23.00273942693248,72.52627371511255,0
Flat,Medium,Rooftop,23.008304923796118,72.5039177147504,1
Sloped,Medium,Balcony,23.083522620308234,72.51981964784075,0
Sloped,Medium,Balcony,23.051412783972786,72.56098034939615,1
Flat,Low,Rooftop,23.00675407367396,72.55022563106775,0
Flat,Medium,Balcony,23.059325094331477,72.58602517917863,1
Sloped,Medium,Building_Facade,23.047696552151216,72.56605484365008,1
Sloped,Medium,Rooftop,23.02312502626967,72.51307417114955,1
Sloped,Medium,Balcony,23.009836519071797,72.51694385121723,1
Sloped,Medium,Rooftop,23.07182672623613,72.5477404753928,1
Curved,High,Balcony,23.028182240711047,72.53763185637732,0
Flat,Low,Building_Facade,23.040922594132976,72.52108888736863,0
Sloped,Medium,Building_Facade,23.049117282608076,72.50338108770048,1
Sloped,Medium,Rooftop,23.02181832913226,72.55034665775634,0
Flat,Low,Building_Facade,23.060864205131466,72.52255570719115,1
Sloped,High,Balcony,23.050343872694814,72.59994101158038,1
Curved,Medium,Building_Facade,23.096325016938746,72.5381630129104,1
Sloped,Low,Rooftop,23.083446681651623,72.51571895749314,1
Flat,High,Building_Facade,23.097456131531313,72.5013555623941,1
Flat,Low,Building_Facade,23.095554178416336,72.53412892445846,0
Curved,High,Balcony,23.015217743561713,72.56044450734218,0
Sloped,Low,Building_Facade,23.061921573842486,72.59735590690309,0
Curved,Medium,Building_Facade,23.094761444201655,72.56796037903754,0
Curved,Medium,Rooftop,23.04198835831479,72.5224920703294,0
Curved,Medium,Balcony,23.09720977648642,72.52737290379793,1
Flat,High,Building_Facade,23.091205812883473,72.50326909596025,0
Flat,High,Balcony,23.094973057941605,72.52008867057945,1
Sloped,High,Rooftop,23.014093438219504,72.57152903353142,1
Curved,Low,Building_Facade,23.07592575143932,72.5772996988874,1
Sloped,Medium,Balcony,23.040466183292256,72.5681977062187,0
Curved,Medium,Balcony,23.013832155089382,72.51807834574156,0
Curved,High,Building_Facade,23.044700998831022,72.53211326270696,1
Curved,High,Rooftop,23.003704508664246,72.57957249452556,1
Curved,Medium,Balcony,23.05168129267858,72.5634085681199,0
Curved,Low,Building_Facade,23.00316034790273,72.57459543750059,1
Curved,Low,Balcony,23.00759325720343,72.58423735230436,0
Sloped,Medium,Building_Facade,23.014638678301935,72.50686480950442,1
Curved,Low,Rooftop,23.003180773835705,72.56952818240879,0
Flat,High,Rooftop,23.059489239508142,72.57434162654835,1
Sloped,Low,Balcony,23.093414176292324,72.56862168577354,1
Flat,Medium,Rooftop,23.03432303963533,72.56853097509176,0
Curved,Medium,Rooftop,23.026071668940673,72.59984999998319,0
Sloped,High,Balcony,23.00539825060575,72.53569643320135,1
Flat,Low,Building_Facade,23.031301636374323,72.50911244005215,1
Flat,Low,Rooftop,23.099907870236905,72.53444368045191,0
Sloped,High,Balcony,23.032837969896242,72.59950788803806,1
Curved,High,Balcony,23.074012914025744,72.59166569447046,0
Sloped,Low,Rooftop,23.05530061580472,72.5928317888596,0
Curved,High,Rooftop,23.008769603056173,72.58365098129148,1
Sloped,Medium,Building_Facade,23.044714464391454,72.50274362018477,0
Sloped,Low,Rooftop,23.057365868021638,72.53298463143828,0
Sloped,High,Balcony,23.011909505588186,72.58553500074191,0
Curved,Low,Building_Facade,23.041290168494204,72.55029562286855,1
Flat,Medium,Rooftop,23.079409368185303,72.52813586874005,1
Sloped,Low,Rooftop,23.09748920966877,72.59177840784596,0
Flat,High,Balcony,23.013727792992118,72.5531347264267,0
Sloped,High,Building_Facade,23.032905759664043,72.59900839045821,1
Curved,Low,Rooftop,23.092311158748327,72.58593873839747,0
Sloped,Low,Balcony,23.02719363564449,72.52467967221291,1
Curved,Medium,Balcony,23.08021417105785,72.54155183620084,1
Curved,High,Balcony,23.004190686903424,72.53947949495735,1
Sloped,High,Balcony,23.03335914897436,72.50719431557475,1
Sloped,Low,Rooftop,23.04560772535594,72.51171607290587,0
Flat,High,Building_Facade,23.063703919109976,72.51187148848007,0
Sloped,Medium,Building_Facade,23.016005360538028,72.5460269025698,1
Flat,High,Building_Facade,23.02531540105378,72.57405691742615,1
Curved,High,Building_Facade,23.040596529668537,72.5712973696685,1
Sloped,Medium,Rooftop,23.062691643158352,72.51464046049782,0
Flat,Medium,Balcony,23.002618567992045,72.59520531809117,0
Curved,High,Balcony,23.00676508066605,72.53112217119337,1
Sloped,Low,Balcony,23.005785479637904,72.52797594244622,1
Flat,High,Balcony,23.020967362573074,72.51100725521178,1
Sloped,High,Building_Facade,23.033289673683157,72.50339693864451,1
Curved,Low,Building_Facade,23.06120999539352,72.50039648281371,0
Sloped,High,Rooftop,23.054189319705397,72.50000131850462,1
Sloped,Medium,Balcony,23.01726351010999,72.51529686459017,0
Curved,Medium,Building_Facade,23.057028032689285,72.57331111047637,1
Flat,High,Rooftop,23.096698921688677,72.52000546119399,0
Sloped,High,Rooftop,23.085140806503244,72.59304529618387,0
Curved,Low,Rooftop,23.047751322918806,72.53066322830306,1
Flat,High,Balcony,23.093897517956737,72.59348840960088,1
Flat,Low,Rooftop,23.034125836813786,72.58712711866825,1
Curved,High,Balcony,23.095893942217774,72.59109481898709,1
Curved,Medium,Balcony,23.064050998741724,72.52770463243412,0
Sloped,Low,Balcony,23.03434114344515,72.55021691626891,0
Flat,Low,Balcony,23.04574861023218,72.53509463557336,0
Curved,High,Building_Facade,23.0414949501856,72.56426446240215,1
Sloped,Low,Rooftop,23.063324855212375,72.59015947167036,1
Sloped,Medium,Balcony,23.08814324840192,72.56094244302463,1
Flat,Low,Rooftop,23.036190183275252,72.5955223207836,1
Sloped,Low,Balcony,23.017773380302053,72.56334938189795,0
Curved,Low,Rooftop,23.093417721901414,72.52281801159779,1
Flat,Low,Balcony,23.011924192923594,72.59331985829394,0
Curved,High,Balcony,23.057643938335925,72.57367556392657,0
Curved,Low,Rooftop,23.078990652620412,72.5657667785742,1
Curved,Medium,Rooftop,23.004005960948056,72.55892957401896,0
Flat,Low,Rooftop,23.063488862613227,72.59659394246316,0
Curved,Medium,Rooftop,23.095689612843852,72.51944372552407,1
Curved,Medium,Balcony,23.027736792711096,72.56298581248794,1
Flat,Medium,Building_Facade,23.075210622419007,72.5373385129585,1
Flat,High,Rooftop,23.059776570215988,72.54646106715366,0
Sloped,Low,Building_Facade,23.00326509634779,72.57371893805906,1
Sloped,High,Rooftop,23.031805367393254,72.58295513200038,0
Sloped,Low,Balcony,23.002528546125454,72.54222639726446,0
Flat,Low,Balcony,23.049648310887118,72.58511981842618,1
Flat,High,Rooftop,23.032036768091384,72.57329091546279,0
Flat,High,Building_Facade,23.083529633763263,72.50507690832961,0
Sloped,Low,Rooftop,23.087714846725984,72.5588491811332,0
Curved,Medium,Rooftop,23.073751026367464,72.57034676688507,1
Flat,Medium,Building_Facade,23.020423380550113,72.51832015280704,0
Sloped,Medium,Rooftop,23.03265209632491,72.50411302356875,0
Flat,High,Building_Facade,23.05269913339923,72.51700914195818,0
Sloped,High,Rooftop,23.08376828088905,72.57427145738933,0
Flat,Medium,Rooftop,23.012974599761062,72.53903029803998,1
Flat,Medium,Building_Facade,23.06637896003611,72.58737681227547,0
Flat,Low,Balcony,23.01782547832534,72.5926712394715,0
Flat,Medium,Rooftop,23.001343885627744,72.5738779402849,1
Curved,Medium,Balcony,23.067800869940154,72.56838813962636,0
Flat,Low,Rooftop,23.00908281214881,72.55026826645997,0
Flat,Low,Rooftop,23.08186058991439,72.54161361752412,1
Curved,High,Rooftop,23.0598678961418,72.56600477615933,0
Curved,Medium,Rooftop,23.080960797371574,72.59544316440933,1
Sloped,Low,Balcony,23.040454918782654,72.59967191855111,0
Sloped,Low,Building_Facade,23.02742429015717,72.5810921196647,0
Curved,Medium,Rooftop,23.083590636443134,72.5654814729067,1
Flat,Medium,Building_Facade,23.0464270928894,72.52442044027678,1
Flat,Medium,Rooftop,23.007106432036718,72.59282085097315,0
Flat,Medium,Building_Facade,23.013667211630377,72.57951798949065,1
Curved,Medium,Balcony,23.025919349135076,72.54343504831144,1
Curved,Medium,Rooftop,23.003482061650395,72.50572792126611,1
Flat,Medium,Rooftop,23.05399922429718,72.50714926867701,0
Sloped,High,Rooftop,23.061309784907262,72.54541552164679,0
Curved,Medium,Building_Facade,23.063070652247532,72.58348088886319,1
Flat,High,Rooftop,23.038644213870963,72.51604960032152,0
Flat,Low,Building_Facade,23.0837298847656,72.56298766636904,1
Curved,High,Building_Facade,23.06591773521753,72.54441535559054,0
Curved,Low,Balcony,23.06934480231517,72.50646596562692,1
Flat,Low,Balcony,23.051116585970405,72.54951748475216,1
Flat,Medium,Building_Facade,23.006746999608787,72.5696227348402,1
Curved,Low,Building_Facade,23.09333616424197,72.591322750454,1
Curved,Low,Building_Facade,23.013779668048517,72.55755962031935,0
Flat,Low,Balcony,23.05120042960068,72.5873157350263,0
Sloped,Medium,Balcony,23.072285753036756,72.5595328329434,1
Flat,Low,Building_Facade,23.003122994216596,72.58088622045122,1
Curved,High,Balcony,23.074974824819755,72.5076299724437,0
Flat,Low,Building_Facade,23.044669341460466,72.51363725429546,0
Sloped,Medium,Rooftop,23.010010818960286,72.57981117666827,0
Flat,High,Rooftop,23.040169557122653,72.53879811428945,1
Flat,Medium,Rooftop,23.06867805621782,72.54165969187922,1
Curved,High,Rooftop,23.041655432107508,72.56292738020835,0
Flat,High,Balcony,23.03982932395598,72.51438550583718,0
Sloped,Low,Balcony,23.055893847208626,72.51885748019802,1
Sloped,Medium,Rooftop,23.06108447479864,72.53578028158293,1
Sloped,Medium,Building_Facade,23.079343617827334,72.56559804311857,1
Sloped,Medium,Building_Facade,23.04003910409842,72.51816462660297,0
Flat,Low,Balcony,23.022225261805303,72.5863739555608,1
Flat,High,Building_Facade,23.017833123877708,72.51859910240437,1
Flat,Medium,Building_Facade,23.033858719188224,72.56141243512516,0
Curved,Medium,Building_Facade,23.048780524649988,72.53105388110716,1
Sloped,Low,Building_Facade,23.01579964007019,72.59029527512979,1
Sloped,Low,Balcony,23.079540454211394,72.56541949776324,0
Flat,High,Balcony,23.035536026502726,72.50725345620371,0
Flat,Low,Rooftop,23.05504044655386,72.54254133194699,1
Sloped,Medium,Rooftop,23.024449557626507,72.58244946852476,0
Curved,Medium,Building_Facade,23.02446148826633,72.53623219508884,1
Sloped,Medium,Building_Facade,23.01655816074336,72.5617806987396,1
Sloped,Medium,Rooftop,23.04389089932451,72.56134852093008,1
Flat,Low,Rooftop,23.010316048219064,72.57290840078038,0
Sloped,Low,Rooftop,23.018215631969458,72.57846274696416,1
Sloped,Medium,Rooftop,23.07032528169316,72.52116473435952,0
Flat,High,Balcony,23.05223590812578,72.51659361359553,0
Curved,Low,Rooftop,23.083659069004806,72.53409191891501,0
Curved,Low,Building_Facade,23.001587257878075,72.58395977956216,1
Sloped,High,Balcony,23.063441791208152,72.58133865981158,0
Flat,Medium,Rooftop,23.07379240544839,72.567879278667,1
Sloped,Medium,Building_Facade,23.030764751647975,72.55120029847161,0
Flat,Low,Building_Facade,23.050447294446222,72.59487535358484,0
Curved,Medium,Balcony,23.00997709463859,72.50801365755767,1
Curved,High,Balcony,23.099332777886616,72.5581458057114,0
Sloped,High,Rooftop,23.098902360642583,72.55477112759758,0
Curved,Medium,Building_Facade,23.022874247734737,72.53688790591725,0
Sloped,Low,Rooftop,23.072236509693475,72.57375343097168,0
Curved,Medium,Rooftop,23.036257933557547,72.534011362993,0
Sloped,Medium,Building_Facade,23.04639649185527,72.57607931674382,0
Flat,Low,Rooftop,23.083614047129956,72.51495531699024,0
Flat,Medium,Building_Facade,23.076897352332214,72.59726611746315,1
Curved,High,Rooftop,23.034491642708975,72.54651811667192,0
Flat,Low,Rooftop,23.07926783782432,72.5155192139382,1
Sloped,Low,Balcony,23.013583819438164,72.56450173473465,1
Sloped,Low,Balcony,23.00249562915561,72.50725956111,1
Sloped,Medium,Building_Facade,23.054806452989702,72.55190574212351,1
Flat,High,Rooftop,23.072411573332182,72.50709267679315,0
Sloped,High,Building_Facade,23.07851070692917,72.51609615385308,1
Curved,Medium,Building_Facade,23.090365244379253,72.56873162537632,0
Sloped,High,Building_Facade,23.013098468925197,72.58820720343135,0
Flat,Low,Balcony,23.011469194389132,72.50900065707913,1
Curved,High,Balcony,23.084189501416947,72.55594536413753,0
Sloped,High,Building_Facade,23.002951349076138,72.5524817948331,1
Sloped,Medium,Building_Facade,23.071806792327415,72.57947516052361,0
Sloped,High,Balcony,23.049563412483963,72.57799458231013,1
Sloped,Low,Rooftop,23.031553009474585,72.505576516184,0
Flat,Medium,Rooftop,23.067524525351505,72.52915443338581,0
Sloped,High,Rooftop,23.053252070131226,72.52378502377873,0
Sloped,High,Building_Facade,23.067977210654828,72.59078779364596,1
